#id arrival runtime priority memsize
1	10	7	4	5
2	13	17	8	193
3	15	17	2	10
4	19	10	3	233
5	22	11	4	172
6	22	19	2	53
7	25	28	6	11
8	28	18	5	125
9	31	24	0	224
10	38	9	4	218
11	43	27	3	134
12	47	21	9	195
13	47	12	2	128
14	48	23	1	83
15	58	20	0	208
16	60	18	2	251
17	64	1	7	45
18	71	3	8	54
19	75	8	7	114
20	77	23	0	254
21	81	21	1	222
22	81	16	10	196
23	88	15	2	227
24	91	15	9	166
25	94	7	3	126
26	96	12	8	20
27	103	16	9	190
28	111	13	10	96
29	119	13	7	166
30	128	7	6	22
31	130	29	10	101
32	138	13	8	134
33	148	30	10	187
34	156	15	3	116
35	157	29	1	185
36	166	2	8	101
37	173	17	1	141
38	181	27	6	185
39	183	14	1	74
40	184	1	1	249
41	190	7	10	181
42	195	1	5	167
43	197	14	0	222
44	200	9	6	103
45	210	4	1	139
46	212	19	2	45
47	212	24	1	156
48	219	2	9	136
49	228	29	2	152
50	236	3	8	153
