#id arrival runtime priority
1	7	3	5
2	14	3	10
3	18	5	6
4	19	5	10
5	28	4	10
6	35	5	1
7	38	1	2
8	44	1	7
9	45	4	9
10	50	4	7
11	51	1	3
12	56	2	0
13	60	3	7
14	70	5	1
15	77	4	10
16	83	3	7
17	88	2	10
18	94	5	3
19	96	2	9
20	106	4	9
21	110	5	0
22	117	4	10
23	122	5	2
24	123	5	6
25	124	3	9
26	124	2	6
27	129	5	6
28	134	4	10
29	140	2	2
30	144	4	9
31	144	5	7
32	144	4	7
33	153	3	1
34	153	5	2
35	158	1	0
36	161	5	1
37	168	5	9
38	168	4	10
39	176	5	0
40	184	3	1
41	191	5	5
42	192	5	4
43	200	5	0
44	207	4	6
45	217	1	0
46	225	5	5
47	234	5	6
48	239	4	9
49	241	1	6
50	244	2	8
