#id arrival runtime priority
1	9	2	8
2	16	25	4
3	24	2	9
4	33	18	3
5	40	24	5
6	43	7	0
7	52	8	3
8	56	24	6
9	60	3	2
10	63	6	6
11	70	10	7
12	74	21	7
13	80	3	2
14	83	25	7
15	89	12	3
16	98	25	1
17	107	20	2
18	107	2	3
19	113	0	7
20	120	22	1
21	120	0	3
22	127	27	2
23	131	7	6
24	135	16	9
25	135	28	6
26	137	4	6
27	138	19	2
28	142	5	0
29	149	27	0
30	153	9	3
31	158	15	0
32	165	9	1
33	172	3	9
34	174	13	6
35	184	18	10
36	187	22	8
37	195	16	4
38	205	29	10
39	214	11	0
40	221	2	6
41	230	8	1
42	239	0	3
43	239	8	8
44	248	27	8
45	250	7	4
46	260	28	3
47	267	16	5
48	268	21	7
49	268	8	5
50	277	7	8
